Compound,Category,BL1-1_Mat,BL1-2_Mat_Bottom,BL1-2_Mat_Top ,BL2-23_Mat,LCL4_Mat,BL2-11_Streamers,BL1-1_Salt ,BL1-1_Salt_1,BL1-1_Salt_2,BL2-23_Salt,BL4_Salt,SL_Salt_2,BL2-1_Brine,BL2-2_Brine,BL_Sediment_3,BL1-1_Sediment,BL2-23_Sediment,BL4_Sediment,LCL4_Sediment,SL_Sediment_1,SL_Sediment_3,BL2-4_Brine,LCL5_Sediment
n-C27:0 ,Long_Saturated_Alkane,0,0,0,0.449319244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416563314,0.531439473,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400194444,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.763331656,0
n-C28:0,Long_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410843771,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0.278839912,0.191145155,0.293131771,0.363336122,0.306856021,0,3.716482105,0,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0.024179385,0,0,0,0,0,0.553562636,0,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511176863,0
n-C29:0,Long_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977438097,0.594225807,1.37063009,0,0,0.604185084,0,0
n-C29:0,Long_Saturated_Alkane,0,0,0,0,0,0.920146331,0,0,0,0,0,0,0,0,1.50265714,0,0,0,0,0.577446364,0,0,0
n-C29:0,Long_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0.034256819,0,0,0,0,0,0.511025346,0,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468194434,0
Unknown,Unknown,0,0,0,0,0.924829336,0,0,0,0,0,0,0,0,0,0,0,0,0.235916012,1.00697609,0,0,0,0.599416297
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257171858,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,4.225880493,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,1.729124112,0,0,0,0,0,0,0,0,0,0,0,0,0,1.562583269,0,0,0,0.964732784
n-C31:0,Long_Saturated_Alkane,0,0,0,0,0,0,0.028554089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-C31:0,Long_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0.527643086,0,0,0,0,0,0,0,0,0.542655918,0
n-C31:0,Long_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.363236492,0.831744737,0,1.087306739,0,0.748171432,0.628115328,0,0
Unknown,Unknown,0,0,0,0,8.160417179,0,0,0,0,0,0,0,0,0,0,0,0,0,7.545203479,0,0,0,4.540318166
Unknown,Unknown,0,0,0,0,0,0,0.021438291,0,0,0,0,0,0.348423265,0,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.025113593,0
Unknown,Unknown,0,0,0,0,5.348576319,0,0,0,0,0,0,0,0,0,0,0,0,0,4.296381708,0,0,0,2.504197831
n-C33:0,Long_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78022257,0,0,0.470681172,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0.01977279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352161768,0
Cetyl Palmitate,Ester,0,0,0,0,10.93316842,0,0,0,0,0,0,0,0,0,0,0,0,0,9.400266188,0,0,0,5.408042521
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761004028
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.586903528,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339236422,0
Stearyl Palmitate ,Ester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.347825188,0
Stearyl Palmitate ,Ester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.256841607,0,0,0,0
Stearyl Palmitate ,Ester,0,0,0,0,1.445818844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
